機構名稱,機構代碼,機構種類,縣市,區,地址全址,經度,緯度,O_ABC,特約服務項目
善誠健康事業股份有限公司附設臺北市私立大安善誠居家長照機構,1V0100048,1,臺北市,大安區,臺北市大安區忠孝東路4段148號7樓717室,121.549911499,25.0412979126,B,居家服務;喘息服務
喜樂園長照股份有限公司附設臺北市私立喜樂園居家長照機構,1R0100011,1,臺北市,松山區,臺北市松山區吉祥里八德路4段123號2樓之4,121.5617523193,25.0487098694,B,居家服務;喘息服務
嘉祿健康事業有限公司附設臺北市私立佳祿居家長照機構,1V0100049,1,臺北市,松山區,臺北市松山區八德路4段656號4樓(666室),121.5754165649,25.0498504639,B,居家服務
嘉陞健康事業股份有限公司附設臺北市私立嘉陞居家長照機構,1R0100046,1,臺北市,大同區,臺北市大同區民權西路136號15樓之3,121.5123138428,25.0645103455,B,喘息服務;居家服務
四季春健康管理顧問事業股份有限公司附設臺北市私立四季春社區長照機構,2R0100009,2,臺北市,大同區,臺北市大同區延平北路三段4號3樓、3樓之1,121.5110473633,25.0634365082,B,日間照顧服務
四正勤關懷照護有限公司附設臺北市私立四正勤居家長照機構,1V0100053,1,臺北市,大同區,臺北市大同區延平北路3段4號5樓之1(R530室),121.5110473633,25.0634365082,B,居家服務;喘息服務
回復點藥局,B30100007,B3,臺北市,大安區,臺北市大安區大安路一段65號2樓之1,121.5462799072,25.0425357819,B,專業照護服務
國亨行銷事業股份有限公司附設臺北市私立好好社區長照機構,2R0100020,2,臺北市,北投區,臺北市北投區豐年里大業路527巷33號1樓,121.4912567139,25.137342453,B,日間照顧服務;喘息服務
國泰醫療財團法人國泰綜合醫院,B20100054,B2,臺北市,大安區,臺北市大安區仁愛路四段266巷6號，280號,1.0,1.0,B,專業照護服務
國泰醫療財團法人國泰綜合醫院附設居家護理所,B10100052,B1,臺北市,大安區,臺北市大安區敦煌里仁愛路4段280號第一分館(B2F),121.5548171997,25.0364532471,B,專業照護服務
國泰醫療財團法人附設居家護理所,B10100011,B1,臺北市,大安區,臺北市大安區敦煌里仁愛路四段280號,121.5535812378,25.0368881226,B,專業照護服務
國立臺灣大學醫學院附設醫院北護分院,B20100023,B2,臺北市,萬華區,臺北市萬華區內江街87號,121.5035705566,25.0417194366,A,個案管理服務
國立臺灣大學醫學院附設醫院北護分院,B20100023,B2,臺北市,萬華區,臺北市萬華區內江街87號,121.5035705566,25.0417194366,B,居家失能個案家庭醫師照護服務;專業照護服務
國立臺灣大學醫學院附設醫院北護分院附設護理之家,A30100022,A3,臺北市,萬華區,臺北市萬華區內江街87號7、8、9樓,121.5035476685,25.0417385101,B,喘息服務
國軒企業有限公司附設臺北市私立國軒居家長照機構,1V0100054,1,臺北市,北投區,臺北市北投區中和街395號1樓,121.4984588623,25.1426258087,B,喘息服務;居家服務
圓石實業股份有限公司附設臺北市私立內湖圓石社區長照機構,2V0100001,2,臺北市,內湖區,臺北市內湖區民權東路6段180巷6號8樓,121.5926513672,25.068195343,B,日間照顧服務;喘息服務
圓石實業股份有限公司附設臺北市私立大同圓石社區長照機構,2V0100005,2,臺北市,大同區,臺北市大同區永樂里延平北路2段96號3樓,121.5112609863,25.056596756,B,小規模多機能服務;喘息服務;日間照顧服務
